cmd,voltage_V,force_x_N,force_y_N,force_z_N,torque_x_Nm,torque_y_Nm,torque_z_Nm,rpm_motor1,rpm_motor2,rpm_motor3,rpm_motor4
0.055,15.5,11.937124252319336,12.725542068481445,-0.3880821466445923,0.23825103044509888,-0.18948903679847717,0.24126103520393372,3.9140000343322754,0.0,0.0,0.0
0.055,15.5,12.429454803466797,12.87791633605957,-0.45143014192581177,0.24346204102039337,-0.19380702078342438,0.24043703079223633,3.927999973297119,0.0,0.0,0.0
0.055,15.5,11.465699195861816,13.42149829864502,-0.5059590339660645,0.2553340196609497,-0.17438700795173645,0.2330300360918045,4.0,0.0,0.0,0.0
0.055,15.5,12.418451309204102,12.641342163085938,-0.5258080363273621,0.23653604090213776,-0.2015560269355774,0.2351670265197754,3.884999990463257,0.0,0.0,0.0
0.055,15.5,12.891815185546875,12.9122314453125,-0.43587106466293335,0.24431602656841278,-0.2045620083808899,0.23810604214668274,3.884999990463257,0.0,0.0,0.0
0.055,15.5,11.264333724975586,13.398027420043945,-0.5370521545410156,0.25354403257369995,-0.1707090139389038,0.23291903734207153,3.884999990463257,0.0,0.0,0.0
0.055,15.5,12.373302459716797,12.73930835723877,-0.4170541763305664,0.2386760413646698,-0.19944702088832855,0.23630903661251068,3.871000051498413,0.0,0.0,0.0
0.055,15.5,12.749748229980469,12.895840644836426,-0.39851808547973633,0.24373604357242584,-0.2016880214214325,0.2348020374774933,3.884999990463257,0.0,0.0,0.0
0.055,15.5,11.31544303894043,13.456855773925781,-0.5356581211090088,0.25377506017684937,-0.1725730299949646,0.23463702201843262,3.927999973297119,0.0,0.0,0.0
0.055,15.5,12.442739486694336,12.647465705871582,-0.460557222366333,0.2365420162677765,-0.20268002152442932,0.23696103692054749,3.9140000343322754,0.0,0.0,0.0
0.055,15.5,11.471366882324219,13.405779838562012,-0.5511622428894043,0.25374701619148254,-0.17704302072525024,0.23499104380607605,3.9709999561309814,0.0,0.0,0.0
0.055,15.5,12.498760223388672,12.570953369140625,-0.48284798860549927,0.2350330352783203,-0.20279501378536224,0.2352430373430252,3.927999973297119,0.0,0.0,0.0
0.055,15.5,12.340587615966797,13.030745506286621,-0.3819928765296936,0.2480570375919342,-0.1923300176858902,0.2373250424861908,3.884999990463257,0.0,0.0,0.0
0.055,15.5,11.417264938354492,13.327835083007812,-0.490551233291626,0.2519650459289551,-0.17743203043937683,0.2385590374469757,3.884999990463257,0.0,0.0,0.0
0.055,15.5,12.656773567199707,12.663976669311523,-0.4099540710449219,0.23741205036640167,-0.20517702400684357,0.23888802528381348,3.884999990463257,0.0,0.0,0.0
0.055,15.5,12.219780921936035,13.114953994750977,-0.3859701156616211,0.2487790435552597,-0.18867401778697968,0.23455104231834412,3.884999990463257,0.0,0.0,0.0
